no2_concentration,cars_per_hour,wind_speed,wind_direction
3.2068,7.424760000000001,4.9,78.9
4.10099,7.44366,5.1,47.9
3.6988300000000005,7.5842600000000004,2.1,214.5
3.2846599999999997,7.7878,2.7,82.0
3.7495,7.999339999999999,2.6,194.0
3.8155099999999997,7.0884100000000005,1.1,295.0
3.9721800000000003,7.12125,1.5,65.4
4.92435,8.05769,1.3,152.0
2.89037,7.76853,4.5,285.1
3.79549,7.041410000000001,2.7,73.0
2.5416,5.96871,2.0,153.2
2.4248,6.818919999999999,3.8,58.5
4.32546,8.18228,2.1,177.0
3.32504,7.216710000000001,3.5,56.1
3.9740599999999997,7.784889999999999,2.1,219.9
5.329330000000001,4.67283,0.5,257.4
1.7404700000000002,4.31749,2.3,75.0
4.50092,8.16138,1.7,69.0
4.3412,8.22604,2.5,87.0
3.7909800000000002,7.8022100000000005,5.0,135.0
3.83945,7.170889999999999,2.6,69.4
4.50314,7.888330000000001,1.1,34.9
4.36691,7.657760000000001,1.9,265.0
3.7013,7.40428,3.4,43.1
4.75875,7.6857,1.8,269.0
4.56954,8.083639999999999,1.4,242.3
1.2237799999999999,6.16331,3.9,30.9
6.39509,7.57302,0.8,87.2
4.2413300000000005,7.02376,2.9,82.1
4.57883,7.972810000000001,4.2,81.0
3.9376900000000004,5.8141300000000005,2.1,79.0
3.9298599999999997,6.608,0.6,191.4
3.3357699999999997,7.35628,2.4,76.6
2.95491,7.305860000000001,1.6,279.2
3.55535,5.1119900000000005,1.1,48.0
2.69463,5.56834,1.6,220.0
4.32678,6.563860000000001,2.1,192.9
4.88129,7.841889999999999,2.9,279.0
4.56539,7.67555,1.3,82.1
4.20916,8.31066,3.4,200.3
3.21888,5.52545,5.0,70.0
2.6532400000000003,5.54908,2.0,75.1
4.34251,8.064010000000001,2.3,9.4
3.64545,5.09987,4.3,183.8
1.54756,5.49306,5.4,255.0
4.18205,7.7411,2.7,85.4
4.1494599999999995,8.3464,2.4,230.0
3.80444,7.91206,3.3,219.0
4.07923,7.609369999999999,3.9,74.3
3.14845,6.767339999999999,3.3,76.3
4.24276,7.6172699999999995,3.7,217.8
2.61007,5.8021199999999995,1.0,299.0
3.1945799999999998,4.55388,3.9,195.5
3.81331,7.57763,2.8,85.0
3.77046,8.06746,2.6,244.4
2.76632,5.66643,2.1,226.8
3.21084,5.49717,4.4,254.0
3.37417,8.07527,5.3,10.5
3.72086,8.02027,4.3,17.0
4.762169999999999,7.6024,2.8,76.0
4.0145800000000005,8.25635,3.1,225.0
4.304069999999999,7.24708,5.5,62.5
3.17805,7.93272,4.0,78.4
1.3609799999999999,4.39445,4.4,115.0
4.40916,7.66856,1.6,65.3
4.028919999999999,7.26613,0.9,90.0
2.89037,7.706160000000001,6.3,44.4
3.88156,8.11851,7.1,74.6
4.51852,7.753189999999999,1.5,238.8
4.01096,7.65207,4.2,100.0
3.7424199999999996,7.66011,3.5,90.8
3.71601,7.59035,6.4,235.0
2.85071,6.70564,2.4,75.5
4.51305,8.17132,3.5,79.0
3.9945199999999996,7.762169999999999,6.2,221.0
2.40695,7.226210000000001,3.8,52.0
3.9120199999999996,7.53423,1.7,336.0
4.45899,7.49165,2.0,77.3
3.7887199999999996,7.83953,2.5,243.6
3.9219699999999995,7.61874,2.1,81.0
3.16969,7.82724,3.5,254.1
4.46245,7.59589,1.3,159.1
2.9285200000000002,4.812180000000001,1.9,204.2
5.78105,7.872839999999999,1.2,97.0
1.28093,5.65948,3.9,46.5
4.09101,8.042060000000001,1.2,261.0
3.62966,7.1577399999999995,1.6,65.0
3.37759,6.2441699999999996,1.5,196.9
5.54713,8.14206,1.5,237.0
2.6390599999999997,4.49981,3.6,68.0
3.9926800000000005,6.575080000000001,1.3,226.0
3.66099,4.6443900000000005,1.9,88.0
2.8273099999999998,4.98361,4.3,78.0
4.29592,7.723560000000001,0.7,216.6
4.94876,7.7613199999999996,0.7,147.7
2.68785,6.18002,4.8,215.0
4.0483,7.21598,2.1,90.1
3.3286300000000004,5.50939,2.2,37.4
4.139959999999999,4.99043,2.3,277.0
3.7424199999999996,7.0422899999999995,2.5,73.0
4.280819999999999,7.35308,1.1,77.0
2.7972799999999998,4.12713,5.6,213.5
3.65584,7.7698,2.5,237.2
4.02535,7.58731,3.4,354.0
3.4404199999999996,5.63835,1.0,61.0
4.42485,7.64204,2.6,249.5
3.94352,5.26269,1.1,271.0
4.21804,7.25205,2.4,63.0
3.44999,5.19296,2.7,86.0
2.52573,7.31986,3.4,41.5
4.4705,7.6806399999999995,1.3,221.8
4.18205,8.1568,5.1,57.2
3.17388,6.947939999999999,0.6,97.0
4.62399,7.14204,2.1,85.0
2.73437,5.0626,2.5,81.7
3.2581,6.13123,8.4,209.9
3.22684,6.858569999999999,3.1,86.0
2.98062,5.39816,1.3,208.0
3.84374,5.14749,1.3,77.0
4.26127,8.167069999999999,4.8,61.0
3.3978599999999997,6.6174,3.9,67.0
3.39451,7.43248,2.0,201.4
4.36437,7.76302,2.0,273.4
2.2617599999999998,5.42495,3.8,79.0
3.4404199999999996,7.127689999999999,4.2,235.0
4.12713,7.419980000000001,3.0,82.0
2.98062,6.89163,1.0,334.0
3.65066,7.9724699999999995,3.7,16.0
4.25135,7.75018,1.8,266.3
3.6584199999999996,7.42536,5.8,184.6
3.9908300000000003,7.637230000000001,4.1,72.5
4.44147,6.551080000000001,2.8,82.5
2.28238,4.98361,3.5,121.0
3.9279,6.575080000000001,0.8,262.7
3.3569,7.092569999999999,3.4,194.0
4.18814,7.83201,0.6,99.7
4.2017,7.55329,1.1,92.0
2.41591,7.23778,4.2,233.0
4.33336,8.20084,2.4,84.0
1.58924,5.81711,3.8,33.0
4.0483,8.264619999999999,2.6,69.1
2.6532400000000003,5.05625,3.2,67.0
4.06732,7.73193,4.2,77.9
3.86283,5.9939599999999995,1.7,209.1
3.98155,7.6410800000000005,2.3,247.0
3.81331,7.74587,2.1,146.0
4.31615,5.14749,1.7,184.0
3.33932,5.66643,2.4,66.1
3.96651,7.34923,1.9,77.0
3.86073,4.45435,4.2,80.0
2.56495,4.584969999999999,2.3,59.0
4.30946,7.68202,5.0,78.0
2.94444,6.52942,6.5,210.0
4.17439,7.757910000000001,4.6,214.0
2.95491,5.78996,0.5,108.5
4.03247,8.162230000000001,5.9,207.0
